YEAR,SITE,DETERMINAND,ANNUAL_AVERAGE,UNITOFMEASUREMENT
1940,Windermere (North),Salvelinus alpinus,2.09,CPUE
1941,Windermere (North),Salvelinus alpinus,7.3,CPUE
1942,Windermere (North),Salvelinus alpinus,7.71,CPUE
1943,Windermere (North),Salvelinus alpinus,6.38,CPUE
1943,Windermere (North),Perca fluviatilis,90.22,CPUE
1943,Windermere (South),Perca fluviatilis,78.62,CPUE
1944,Windermere (North),Salvelinus alpinus,5.63,CPUE
1944,Windermere (North),Perca fluviatilis,58.59,CPUE
1944,Windermere (South),Perca fluviatilis,39.51,CPUE
1944,Windermere (North),Esox lucius,0.19,CPUE
1944,Windermere (South),Esox lucius,0.22,CPUE
1945,Windermere (North),Salvelinus alpinus,15.67,CPUE
1945,Windermere (North),Perca fluviatilis,59.25,CPUE
1945,Windermere (South),Perca fluviatilis,48.82,CPUE
1945,Windermere (North),Esox lucius,0.06,CPUE
1945,Windermere (South),Esox lucius,0.06,CPUE
1946,Windermere (North),Salvelinus alpinus,8.55,CPUE
1946,Windermere (North),Perca fluviatilis,62.72,CPUE
1946,Windermere (South),Perca fluviatilis,79.63,CPUE
1946,Windermere (North),Esox lucius,0.03,CPUE
1946,Windermere (South),Esox lucius,0.04,CPUE
1947,Windermere (North),Salvelinus alpinus,30.56,CPUE
1947,Windermere (North),Perca fluviatilis,19.9,CPUE
1947,Windermere (South),Perca fluviatilis,47.65,CPUE
1947,Windermere (North),Esox lucius,0.08,CPUE
1947,Windermere (South),Esox lucius,0.04,CPUE
1948,Windermere (North),Salvelinus alpinus,22.44,CPUE
1948,Windermere (North),Perca fluviatilis,29.42,CPUE
1948,Windermere (South),Perca fluviatilis,42.35,CPUE
1948,Windermere (North),Esox lucius,0.05,CPUE
1948,Windermere (South),Esox lucius,0.03,CPUE
1949,Windermere (North),Salvelinus alpinus,12.75,CPUE
1949,Windermere (North),Perca fluviatilis,6.2,CPUE
1949,Windermere (South),Perca fluviatilis,26.13,CPUE
1949,Windermere (North),Esox lucius,0.08,CPUE
1949,Windermere (South),Esox lucius,0.03,CPUE
1950,Windermere (North),Salvelinus alpinus,23.75,CPUE
1950,Windermere (North),Perca fluviatilis,5.82,CPUE
1950,Windermere (South),Perca fluviatilis,17.47,CPUE
1950,Windermere (North),Esox lucius,0.1,CPUE
1950,Windermere (South),Esox lucius,0.09,CPUE
1951,Windermere (North),Salvelinus alpinus,22.67,CPUE
1951,Windermere (North),Perca fluviatilis,17.64,CPUE
1951,Windermere (South),Perca fluviatilis,26.29,CPUE
1951,Windermere (North),Esox lucius,0.11,CPUE
1951,Windermere (South),Esox lucius,0.07,CPUE
1952,Windermere (North),Salvelinus alpinus,18.44,CPUE
1952,Windermere (North),Perca fluviatilis,7.84,CPUE
1952,Windermere (South),Perca fluviatilis,32.08,CPUE
1952,Windermere (North),Esox lucius,0.11,CPUE
1952,Windermere (South),Esox lucius,0.15,CPUE
1953,Windermere (North),Salvelinus alpinus,13.38,CPUE
1953,Windermere (North),Perca fluviatilis,13.1,CPUE
1953,Windermere (South),Perca fluviatilis,37.57,CPUE
1953,Windermere (North),Esox lucius,0.1,CPUE
1953,Windermere (South),Esox lucius,0.11,CPUE
1954,Windermere (North),Salvelinus alpinus,15.63,CPUE
1954,Windermere (North),Perca fluviatilis,9.25,CPUE
1954,Windermere (South),Perca fluviatilis,49.69,CPUE
1954,Windermere (North),Esox lucius,0.07,CPUE
1954,Windermere (South),Esox lucius,0.08,CPUE
1955,Windermere (North),Salvelinus alpinus,31.75,CPUE
1955,Windermere (North),Perca fluviatilis,6.26,CPUE
1955,Windermere (South),Perca fluviatilis,18.21,CPUE
1955,Windermere (North),Esox lucius,0.11,CPUE
1955,Windermere (South),Esox lucius,0.11,CPUE
1956,Windermere (North),Salvelinus alpinus,31,CPUE
1956,Windermere (North),Perca fluviatilis,9.32,CPUE
1956,Windermere (South),Perca fluviatilis,18.24,CPUE
1956,Windermere (North),Esox lucius,0.2,CPUE
1956,Windermere (South),Esox lucius,0.09,CPUE
1957,Windermere (North),Salvelinus alpinus,24.7,CPUE
1957,Windermere (North),Perca fluviatilis,4.97,CPUE
1957,Windermere (South),Perca fluviatilis,31.5,CPUE
1957,Windermere (North),Esox lucius,0.22,CPUE
1957,Windermere (South),Esox lucius,0.07,CPUE
1958,Windermere (North),Salvelinus alpinus,16.13,CPUE
1958,Windermere (North),Perca fluviatilis,13.04,CPUE
1958,Windermere (South),Perca fluviatilis,61.1,CPUE
1958,Windermere (North),Esox lucius,0.34,CPUE
1958,Windermere (South),Esox lucius,0.1,CPUE
1959,Windermere (North),Salvelinus alpinus,22.25,CPUE
1959,Windermere (North),Perca fluviatilis,14.12,CPUE
1959,Windermere (South),Perca fluviatilis,52.06,CPUE
1959,Windermere (North),Esox lucius,0.1,CPUE
1959,Windermere (South),Esox lucius,0.23,CPUE
1960,Windermere (North),Salvelinus alpinus,41.63,CPUE
1960,Windermere (North),Perca fluviatilis,53.63,CPUE
1960,Windermere (South),Perca fluviatilis,80.35,CPUE
1960,Windermere (North),Esox lucius,0.09,CPUE
1960,Windermere (South),Esox lucius,0.33,CPUE
1961,Windermere (North),Salvelinus alpinus,22.78,CPUE
1961,Windermere (North),Perca fluviatilis,47.07,CPUE
1961,Windermere (South),Perca fluviatilis,82.83,CPUE
1961,Windermere (North),Esox lucius,0.11,CPUE
1961,Windermere (South),Esox lucius,0.42,CPUE
1962,Windermere (North),Salvelinus alpinus,36.22,CPUE
1962,Windermere (North),Perca fluviatilis,99.03,CPUE
1962,Windermere (South),Perca fluviatilis,92.83,CPUE
1962,Windermere (North),Esox lucius,0.2,CPUE
1962,Windermere (South),Esox lucius,0.2,CPUE
1963,Windermere (North),Salvelinus alpinus,47.5,CPUE
1963,Windermere (North),Perca fluviatilis,89.37,CPUE
1963,Windermere (South),Perca fluviatilis,28.33,CPUE
1963,Windermere (North),Esox lucius,0.19,CPUE
1963,Windermere (South),Esox lucius,0.18,CPUE
1964,Windermere (North),Salvelinus alpinus,38.88,CPUE
1964,Windermere (North),Perca fluviatilis,53.6,CPUE
1964,Windermere (South),Perca fluviatilis,14.85,CPUE
1964,Windermere (North),Esox lucius,0.18,CPUE
1964,Windermere (South),Esox lucius,0.14,CPUE
1965,Windermere (North),Salvelinus alpinus,85.63,CPUE
1965,Windermere (North),Perca fluviatilis,28.87,CPUE
1965,Windermere (South),Perca fluviatilis,30.87,CPUE
1965,Windermere (North),Esox lucius,0.09,CPUE
1965,Windermere (South),Esox lucius,0.1,CPUE
1966,Windermere (North),Salvelinus alpinus,90,CPUE
1966,Windermere (North),Perca fluviatilis,28.23,CPUE
1966,Windermere (South),Perca fluviatilis,22.53,CPUE
1966,Windermere (North),Esox lucius,0.1,CPUE
1966,Windermere (South),Esox lucius,0.13,CPUE
1967,Windermere (North),Salvelinus alpinus,54,CPUE
1967,Windermere (North),Perca fluviatilis,14.27,CPUE
1967,Windermere (South),Perca fluviatilis,12.5,CPUE
1967,Windermere (North),Esox lucius,0.14,CPUE
1967,Windermere (South),Esox lucius,0.13,CPUE
1968,Windermere (North),Salvelinus alpinus,51.75,CPUE
1968,Windermere (North),Perca fluviatilis,19.23,CPUE
1968,Windermere (South),Perca fluviatilis,12.53,CPUE
1968,Windermere (North),Esox lucius,0.16,CPUE
1968,Windermere (South),Esox lucius,0.12,CPUE
1969,Windermere (North),Salvelinus alpinus,63.8,CPUE
1969,Windermere (North),Perca fluviatilis,24.67,CPUE
1969,Windermere (South),Perca fluviatilis,20.97,CPUE
1969,Windermere (North),Esox lucius,0.22,CPUE
1969,Windermere (South),Esox lucius,0.25,CPUE
1970,Windermere (North),Salvelinus alpinus,83.67,CPUE
1970,Windermere (North),Perca fluviatilis,45,CPUE
1970,Windermere (South),Perca fluviatilis,36.47,CPUE
1970,Windermere (North),Esox lucius,0.48,CPUE
1970,Windermere (South),Esox lucius,0.35,CPUE
1971,Windermere (North),Salvelinus alpinus,87.67,CPUE
1971,Windermere (North),Perca fluviatilis,38.37,CPUE
1971,Windermere (South),Perca fluviatilis,39.73,CPUE
1971,Windermere (North),Esox lucius,0.25,CPUE
1971,Windermere (South),Esox lucius,0.29,CPUE
1972,Windermere (North),Salvelinus alpinus,63.33,CPUE
1972,Windermere (North),Perca fluviatilis,38.5,CPUE
1972,Windermere (South),Perca fluviatilis,45.17,CPUE
1972,Windermere (North),Esox lucius,0.24,CPUE
1972,Windermere (South),Esox lucius,0.22,CPUE
1973,Windermere (North),Salvelinus alpinus,87,CPUE
1973,Windermere (North),Perca fluviatilis,34.5,CPUE
1973,Windermere (South),Perca fluviatilis,42.33,CPUE
1973,Windermere (North),Esox lucius,0.2,CPUE
1973,Windermere (South),Esox lucius,0.19,CPUE
1974,Windermere (North),Salvelinus alpinus,,CPUE
1974,Windermere (North),Perca fluviatilis,30.47,CPUE
1974,Windermere (South),Perca fluviatilis,51.57,CPUE
1974,Windermere (North),Esox lucius,0.27,CPUE
1974,Windermere (South),Esox lucius,0.22,CPUE
1975,Windermere (North),Salvelinus alpinus,55.13,CPUE
1975,Windermere (North),Perca fluviatilis,32.47,CPUE
1975,Windermere (South),Perca fluviatilis,50.8,CPUE
1975,Windermere (North),Esox lucius,0.48,CPUE
1975,Windermere (South),Esox lucius,0.19,CPUE
1976,Windermere (North),Salvelinus alpinus,49.63,CPUE
1976,Windermere (North),Perca fluviatilis,37.23,CPUE
1976,Windermere (South),Perca fluviatilis,32.73,CPUE
1976,Windermere (North),Esox lucius,0.34,CPUE
1976,Windermere (South),Esox lucius,0.31,CPUE
1977,Windermere (North),Salvelinus alpinus,60.11,CPUE
1977,Windermere (North),Perca fluviatilis,3.9,CPUE
1977,Windermere (South),Perca fluviatilis,0,CPUE
1977,Windermere (North),Esox lucius,0.45,CPUE
1977,Windermere (South),Esox lucius,0.38,CPUE
1978,Windermere (North),Salvelinus alpinus,63.5,CPUE
1978,Windermere (North),Perca fluviatilis,9.6,CPUE
1978,Windermere (South),Perca fluviatilis,4.67,CPUE
1978,Windermere (North),Esox lucius,0.41,CPUE
1978,Windermere (South),Esox lucius,0.32,CPUE
1979,Windermere (North),Salvelinus alpinus,62,CPUE
1979,Windermere (North),Perca fluviatilis,5.6,CPUE
1979,Windermere (South),Perca fluviatilis,0.83,CPUE
1979,Windermere (North),Esox lucius,0.25,CPUE
1979,Windermere (South),Esox lucius,0.22,CPUE
1980,Windermere (North),Salvelinus alpinus,61.25,CPUE
1980,Windermere (North),Perca fluviatilis,26.4,CPUE
1980,Windermere (South),Perca fluviatilis,14.5,CPUE
1980,Windermere (North),Esox lucius,0.17,CPUE
1980,Windermere (South),Esox lucius,0.17,CPUE
1981,Windermere (North),Salvelinus alpinus,50.25,CPUE
1981,Windermere (North),Perca fluviatilis,8.87,CPUE
1981,Windermere (South),Perca fluviatilis,7.87,CPUE
1981,Windermere (North),Esox lucius,0.17,CPUE
1981,Windermere (South),Esox lucius,0.12,CPUE
1982,Windermere (North),Salvelinus alpinus,55.13,CPUE
1982,Windermere (North),Perca fluviatilis,38.7,CPUE
1982,Windermere (South),Perca fluviatilis,22.3,CPUE
1982,Windermere (North),Esox lucius,0.17,CPUE
1982,Windermere (South),Esox lucius,0.3,CPUE
1983,Windermere (North),Salvelinus alpinus,54.33,CPUE
1983,Windermere (North),Perca fluviatilis,13.47,CPUE
1983,Windermere (South),Perca fluviatilis,18.67,CPUE
1983,Windermere (North),Esox lucius,0.28,CPUE
1983,Windermere (South),Esox lucius,0.28,CPUE
1984,Windermere (North),Salvelinus alpinus,35.67,CPUE
1984,Windermere (North),Perca fluviatilis,21.13,CPUE
1984,Windermere (South),Perca fluviatilis,18.57,CPUE
1984,Windermere (North),Esox lucius,0.68,CPUE
1984,Windermere (South),Esox lucius,0.42,CPUE
1985,Windermere (North),Salvelinus alpinus,68.63,CPUE
1985,Windermere (North),Perca fluviatilis,2.73,CPUE
1985,Windermere (South),Perca fluviatilis,4.87,CPUE
1985,Windermere (North),Esox lucius,0.88,CPUE
1985,Windermere (South),Esox lucius,0.81,CPUE
1986,Windermere (North),Salvelinus alpinus,69.13,CPUE
1986,Windermere (North),Perca fluviatilis,25.6,CPUE
1986,Windermere (South),Perca fluviatilis,12.23,CPUE
1986,Windermere (North),Esox lucius,1.19,CPUE
1986,Windermere (South),Esox lucius,0.75,CPUE
1987,Windermere (North),Salvelinus alpinus,29.43,CPUE
1987,Windermere (North),Perca fluviatilis,19.77,CPUE
1987,Windermere (South),Perca fluviatilis,11.47,CPUE
1987,Windermere (North),Esox lucius,0.82,CPUE
1987,Windermere (South),Esox lucius,0.68,CPUE
1988,Windermere (North),Salvelinus alpinus,39,CPUE
1988,Windermere (North),Perca fluviatilis,20.63,CPUE
1988,Windermere (South),Perca fluviatilis,8.73,CPUE
1988,Windermere (North),Esox lucius,0.58,CPUE
1988,Windermere (South),Esox lucius,0.6,CPUE
1989,Windermere (North),Salvelinus alpinus,36,CPUE
1989,Windermere (North),Perca fluviatilis,37.73,CPUE
1989,Windermere (South),Perca fluviatilis,25.17,CPUE
1989,Windermere (North),Esox lucius,0.57,CPUE
1989,Windermere (South),Esox lucius,0.46,CPUE
1990,Windermere (North),Salvelinus alpinus,53.78,CPUE
1990,Windermere (North),Perca fluviatilis,29.1,CPUE
1990,Windermere (South),Perca fluviatilis,55.93,CPUE
1990,Windermere (North),Esox lucius,0.84,CPUE
1990,Windermere (South),Esox lucius,0.75,CPUE
1990,Windermere (North),Total fish (hydroacoustics),246.1,fish ha-1
1990,Windermere (South),Total fish (hydroacoustics),125.4,fish ha-1
1991,Windermere (North),Salvelinus alpinus,50.63,CPUE
1991,Windermere (North),Perca fluviatilis,6.8,CPUE
1991,Windermere (South),Perca fluviatilis,13.13,CPUE
1991,Windermere (North),Esox lucius,0.93,CPUE
1991,Windermere (South),Esox lucius,0.46,CPUE
1991,Windermere (North),Total fish (hydroacoustics),231,fish ha-1
1991,Windermere (South),Total fish (hydroacoustics),110.6,fish ha-1
1992,Windermere (North),Salvelinus alpinus,37.5,CPUE
1992,Windermere (North),Perca fluviatilis,9.73,CPUE
1992,Windermere (South),Perca fluviatilis,3.23,CPUE
1992,Windermere (North),Esox lucius,1.13,CPUE
1992,Windermere (South),Esox lucius,0.66,CPUE
1992,Windermere (North),Total fish (hydroacoustics),234.9,fish ha-1
1992,Windermere (South),Total fish (hydroacoustics),248.2,fish ha-1
1993,Windermere (North),Salvelinus alpinus,21.33,CPUE
1993,Windermere (North),Perca fluviatilis,33.27,CPUE
1993,Windermere (South),Perca fluviatilis,20.4,CPUE
1993,Windermere (North),Esox lucius,0.75,CPUE
1993,Windermere (South),Esox lucius,0.66,CPUE
1993,Windermere (North),Total fish (hydroacoustics),226.8,fish ha-1
1993,Windermere (South),Total fish (hydroacoustics),205.4,fish ha-1
1994,Windermere (North),Salvelinus alpinus,24.22,CPUE
1994,Windermere (North),Perca fluviatilis,16.33,CPUE
1994,Windermere (South),Perca fluviatilis,5.43,CPUE
1994,Windermere (North),Esox lucius,1.05,CPUE
1994,Windermere (South),Esox lucius,0.35,CPUE
1994,Windermere (North),Total fish (hydroacoustics),294.7,fish ha-1
1994,Windermere (South),Total fish (hydroacoustics),193.8,fish ha-1
1995,Windermere (North),Salvelinus alpinus,32.3,CPUE
1995,Windermere (North),Rutilus rutilus,4.22,CPUE
1995,Windermere (South),Rutilus rutilus,2.56,CPUE
1995,Windermere (North),Perca fluviatilis,19.3,CPUE
1995,Windermere (South),Perca fluviatilis,6,CPUE
1995,Windermere (North),Esox lucius,0.93,CPUE
1995,Windermere (South),Esox lucius,0.57,CPUE
1995,Windermere (North),Total fish (hydroacoustics),267.6,fish ha-1
1995,Windermere (South),Total fish (hydroacoustics),203.6,fish ha-1
1996,Windermere (North),Salvelinus alpinus,23.25,CPUE
1996,Windermere (North),Perca fluviatilis,79.67,CPUE
1996,Windermere (South),Perca fluviatilis,47.3,CPUE
1996,Windermere (North),Esox lucius,0.88,CPUE
1996,Windermere (South),Esox lucius,0.86,CPUE
1996,Windermere (North),Total fish (hydroacoustics),277.9,fish ha-1
1996,Windermere (South),Total fish (hydroacoustics),213.7,fish ha-1
1997,Windermere (North),Salvelinus alpinus,14.63,CPUE
1997,Windermere (North),Perca fluviatilis,55.17,CPUE
1997,Windermere (South),Perca fluviatilis,42.77,CPUE
1997,Windermere (North),Esox lucius,0.83,CPUE
1997,Windermere (South),Esox lucius,0.66,CPUE
1997,Windermere (North),Total fish (hydroacoustics),272.3,fish ha-1
1997,Windermere (South),Total fish (hydroacoustics),578.8,fish ha-1
1998,Windermere (North),Salvelinus alpinus,17.75,CPUE
1998,Windermere (North),Perca fluviatilis,22.3,CPUE
1998,Windermere (South),Perca fluviatilis,15.73,CPUE
1998,Windermere (North),Esox lucius,1.42,CPUE
1998,Windermere (South),Esox lucius,0.48,CPUE
1998,Windermere (North),Total fish (hydroacoustics),227.3,fish ha-1
1998,Windermere (South),Total fish (hydroacoustics),508.5,fish ha-1
1999,Windermere (North),Salvelinus alpinus,14,CPUE
1999,Windermere (North),Perca fluviatilis,25.13,CPUE
1999,Windermere (South),Perca fluviatilis,21.6,CPUE
1999,Windermere (North),Esox lucius,1.28,CPUE
1999,Windermere (South),Esox lucius,0.55,CPUE
1999,Windermere (North),Total fish (hydroacoustics),276.4,fish ha-1
1999,Windermere (South),Total fish (hydroacoustics),239.4,fish ha-1
2000,Windermere (North),Salvelinus alpinus,7.5,CPUE
2000,Windermere (North),Rutilus rutilus,21.78,CPUE
2000,Windermere (South),Rutilus rutilus,27.11,CPUE
2000,Windermere (North),Perca fluviatilis,13.8,CPUE
2000,Windermere (South),Perca fluviatilis,15.07,CPUE
2000,Windermere (North),Esox lucius,1.68,CPUE
2000,Windermere (South),Esox lucius,0.77,CPUE
2000,Windermere (North),Total fish (hydroacoustics),266.1,fish ha-1
2000,Windermere (South),Total fish (hydroacoustics),699.9,fish ha-1
2001,Windermere (North),Salvelinus alpinus,4.88,CPUE
2001,Windermere (North),Perca fluviatilis,43.3,CPUE
2001,Windermere (South),Perca fluviatilis,30.17,CPUE
2001,Windermere (North),Esox lucius,1.23,CPUE
2001,Windermere (South),Esox lucius,0.7,CPUE
2001,Windermere (North),Total fish (hydroacoustics),400.5,fish ha-1
2001,Windermere (South),Total fish (hydroacoustics),1036.6,fish ha-1
2002,Windermere (North),Salvelinus alpinus,3.13,CPUE
2002,Windermere (North),Perca fluviatilis,27.83,CPUE
2002,Windermere (South),Perca fluviatilis,32.92,CPUE
2002,Windermere (North),Esox lucius,1.47,CPUE
2002,Windermere (South),Esox lucius,0.57,CPUE
2002,Windermere (North),Total fish (hydroacoustics),237.6,fish ha-1
2002,Windermere (South),Total fish (hydroacoustics),499.6,fish ha-1
2003,Windermere (North),Salvelinus alpinus,3.75,CPUE
2003,Windermere (North),Perca fluviatilis,4.63,CPUE
2003,Windermere (South),Perca fluviatilis,15.92,CPUE
2003,Windermere (North),Esox lucius,1,CPUE
2003,Windermere (South),Esox lucius,0.65,CPUE
2003,Windermere (North),Total fish (hydroacoustics),448.8,fish ha-1
2003,Windermere (South),Total fish (hydroacoustics),969.7,fish ha-1
2004,Windermere (North),Salvelinus alpinus,2.6,CPUE
2004,Windermere (North),Perca fluviatilis,17.36,CPUE
2004,Windermere (South),Perca fluviatilis,2.63,CPUE
2004,Windermere (North),Esox lucius,1.02,CPUE
2004,Windermere (South),Esox lucius,0.68,CPUE
2004,Windermere (North),Total fish (hydroacoustics),727.4,fish ha-1
2004,Windermere (South),Total fish (hydroacoustics),954,fish ha-1
2005,Windermere (North),Salvelinus alpinus,7.8,CPUE
2005,Windermere (North),Rutilus rutilus,32,CPUE
2005,Windermere (South),Rutilus rutilus,30.89,CPUE
2005,Windermere (North),Perca fluviatilis,3.77,CPUE
2005,Windermere (South),Perca fluviatilis,5.5,CPUE
2005,Windermere (North),Esox lucius,1.22,CPUE
2005,Windermere (South),Esox lucius,0.55,CPUE
2005,Windermere (North),Total fish (hydroacoustics),908.3,fish ha-1
2005,Windermere (South),Total fish (hydroacoustics),1029.7,fish ha-1
2006,Windermere (North),Salvelinus alpinus,2.57,CPUE
2006,Windermere (North),Perca fluviatilis,23.47,CPUE
2006,Windermere (South),Perca fluviatilis,20.3,CPUE
2006,Windermere (North),Esox lucius,1.01,CPUE
2006,Windermere (South),Esox lucius,0.6,CPUE
2006,Windermere (North),Total fish (hydroacoustics),616.3,fish ha-1
2006,Windermere (South),Total fish (hydroacoustics),1143.9,fish ha-1
2007,Windermere (North),Salvelinus alpinus,1.41,CPUE
2007,Windermere (North),Perca fluviatilis,72.23,CPUE
2007,Windermere (South),Perca fluviatilis,43.13,CPUE
2007,Windermere (North),Esox lucius,0.92,CPUE
2007,Windermere (South),Esox lucius,0.56,CPUE
2007,Windermere (North),Total fish (hydroacoustics),231.2,fish ha-1
2007,Windermere (South),Total fish (hydroacoustics),955.2,fish ha-1
2008,Windermere (North),Salvelinus alpinus,0.63,CPUE
2008,Windermere (North),Perca fluviatilis,45.37,CPUE
2008,Windermere (South),Perca fluviatilis,43.3,CPUE
2008,Windermere (North),Esox lucius,0.67,CPUE
2008,Windermere (South),Esox lucius,0.58,CPUE
2008,Windermere (North),Total fish (hydroacoustics),1026.8,fish ha-1
2008,Windermere (South),Total fish (hydroacoustics),1749,fish ha-1
2009,Windermere (North),Salvelinus alpinus,1.22,CPUE
2009,Windermere (North),Perca fluviatilis,41.33,CPUE
2009,Windermere (South),Perca fluviatilis,34.07,CPUE
2009,Windermere (North),Esox lucius,0.73,CPUE
2009,Windermere (South),Esox lucius,0.47,CPUE
2009,Windermere (North),Total fish (hydroacoustics),265.5,fish ha-1
2009,Windermere (South),Total fish (hydroacoustics),884.7,fish ha-1
2010,Windermere (North),Salvelinus alpinus,0.63,CPUE
2010,Windermere (South),Perca fluviatilis,20.5,CPUE
2010,Windermere (North),Perca fluviatilis,30.07,CPUE
2010,Windermere (North),Esox lucius,0.54,CPUE
2010,Windermere (South),Esox lucius,0.38,CPUE
2010,Windermere (North),Rutilus rutilus,18.22,CPUE
2010,Windermere (South),Rutilus rutilus,12.67,CPUE
2010,Windermere (North),Total fish (hydroacoustics),726.9,fish ha-1
2010,Windermere (South),Total fish (hydroacoustics),1216.4,fish ha-1
2011,Windermere (North),Salvelinus alpinus,0.44,CPUE
2011,Windermere (South),Perca fluviatilis,46.77,CPUE
2011,Windermere (North),Perca fluviatilis,28.3,CPUE
2011,Windermere (North),Esox lucius,0.47,CPUE
2011,Windermere (South),Esox lucius,0.48,CPUE
2011,Windermere (North),Total fish (hydroacoustics),210.3,fish ha-1
2011,Windermere (South),Total fish (hydroacoustics),919.6,fish ha-1
2012,Windermere (North),Salvelinus alpinus,7.8,CPUE
2012,Windermere (South),Perca fluviatilis,56.43,CPUE
2012,Windermere (North),Perca fluviatilis,16.17,CPUE
2012,Windermere (North),Esox lucius,0.65,CPUE
2012,Windermere (South),Esox lucius,0.32,CPUE
2012,Windermere (North),Total fish (hydroacoustics),439.5,fish ha-1
2012,Windermere (South),Total fish (hydroacoustics),1453,fish ha-1